Sl No,Title,Author,Month,Year,GoodReads Link,Meetup Number
1,Anna and the French Kiss,Stephanie Perkins ,1,2018,,
2,Looking Away,Harsh Mander ,1,2018,,
3,Wolves of the Calla (The Dark Tower #5),Stephen King ,1,2018,,
4,Red Rising,Pierce Brown ,1,2018,,
5,There’s someone inside your house,Stephanie Perkins ,1,2018,,
6,Arguably,Christopher Hitchens ,1,2018,,
7,Sapiens,Yuval Noah Harari ,1,2018,,
8,In the Shadow of the earth,JP Borders ,1,2018,,
9,Steve Jobs,Walter Issacson ,1,2018,,
10,Alex ferguson,Autobigraphy ,1,2018,,
11,How to become a bawse,Lilly Singh ,1,2018,,
12,I am Zlatan - Zlatan ,,1,2018,,
13,Ghachar Ghochar,Vivek Shanbhag ,1,2018,,
14,1984,George Orwell ,1,2018,,
15,Turtles all the way,John Green ,1,2018,,
16,A horse and two goats,R K Narayan ,1,2018,,
17,Paper Towns,John Green ,1,2018,,
18,Em and the big Hoom,Jerry Pinto ,1,2018,,
19,The Peculiar Life of a lonely Postman,Denis Theriault ,1,2018,,
20,The postman’s fiance,Denis Theriault ,1,2018,,
21,The quantum Thief,Hannu Rajaniemi ,1,2018,,
22,Origin,Dan Brown ,1,2018,,
23,An ordinary life,Nawazuddin Siddiqui ,1,2018,,
24,The Game,Neil Strauss ,1,2018,,
25,The wind in the willows,Kenneth Grahame ,1,2018,,
26,The vegetarian,Han Kang ,1,2018,,
27,Men without women,Haruki Murakami ,1,2018,,
28,Meditations,Marcus Aurelius ,1,2018,,
29,How green was my valley,Richard Llewellyn ,1,2018,,
30,Gujarat fights,Rana Ayyub ,1,2018,,
31,From Godmen to Tycoon,Priyanka Pathak ,1,2018,,
32,The God of small things,Arundhati Roy ,1,2018,,
33,The summer requiem,Vikramn Seth ,1,2018,,
34,The ministry of utmost happiness,Arundhati Roy ,1,2018,,
35,Oathbringer,Brandon Sanderson ,1,2018,,
36,The Alcatraz series,Brandon Sanderson ,1,2018,,
37,The Cursed child ,,1,2018,,
38,Mistborn series,Brandon Sanderson ,1,2018,,
39,The hunger games,Suzanne Collins ,1,2018,,
40,The wind up bird chronicle,Haruki Murakami ,1,2018,,
41,Why poetry,Matthew Zapruder ,1,2018,,
42,The castle,Kafka ,1,2018,,
43,The stranger,Albert camus ,1,2018,,
44,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami ,1,2018,,
45,In search of lost time,Marcel Proust ,1,2018,,
46,Mothering the Muslim,Nazia Erum ,1,2018,,
47,I could pee on that,Francesco Marciuliano ,1,2018,,
48,The Martian,,1,2018,,
49,Milk and Honey,Rupi Kaur,1,2018,,
50,Fangirl,Rainbow Rowell ,1,2018,,
51,Consent to Kill,Mitch Rapp ,1,2018,,
52,Geetanjali,Rabindranath Tagore,1,2018,,
53,A thousand splendid suns,Khaled Hosseini,1,2018,,
54,Screw it ;  let’s do it,Richard Branson ,1,2018,,
55,Pillars of the Earth,Ken Follet ,1,2018,,
56,Winter of the World,Ken Follet ,1,2018,,
57,9 lives,William Dalrymple ,1,2018,,
58,The Dresden Files,Jim Butcher ,1,2018,,
59,The Gene,Siddhartha Mukherjee ,1,2018,,
60,The boy who loved,Durjoy Dutta ,1,2018,,
61,A Room of One's Own, Virginia Woolf,2,2018,,
62,Skin in the game, Nassim Nicholas Taleb,2,2018,,
63,Ready Player One,,2,2018,,
64,The Elephant in the Brain, Kevin Simler,2,2018,,
65,When Breath becomes Air,Paul Kalanithi,4,2018,,
66,The Game,Neil Strauss,4,2018,,
67,Malazan,Steve Erikson,4,2018,,
68,Create Dangerously,Albert Camus,4,2018,,
69,The Book of Chocolate Saints,Jeet Thayil,4,2018,,
70,The Meursault Investigations,Kamel Daoud,4,2018,,
71,Essays on Nationalalism,George Orwell,4,2018,,
72,Things Fall Apart,Chinua Achebe,4,2018,,
73,Leila,Prayag Akbar,4,2018,,
74,Guards Guards,Terry Pratchett ,4,2018,,
75,Not that Kind of a Girl,Lenna Dunham,4,2018,,
76,A Thousand Splendid Suns,Khaled Hosseini,4,2018,,
77,Guns;  Germs and Steel,Jared Diamond ,4,2018,,
78,The Eye of the World,Robert Jordan ,4,2018,,
79,Mid-Wicket Tales: From Trumper to Tendulkar,S Giridhar and V J Raghunath ,4,2018,,
80,Dune,Frank Herbert,5,2018,,
81,1984,George Orwell,5,2018,,
82,H2G2,Douglas Adams,5,2018,,
83,Martian,Andy Weir,5,2018,,
84,Artemis,Andy Weir,5,2018,,
85,Binti  -,Nnedi Okorafor,5,2018,,
86,Who fears Death - Nnedi Okorafor,Nnedi Okorafor,5,2018,,
87,Thursday Next Series,Jasper Fforde,5,2018,,
88,Ready Player One,Ernest Cline,5,2018,,
89,Ubik,PKD,5,2018,,
90,Children of Time,Adrian Tchiakovsky,5,2018,,
91,A Scanner Darkly,PKD,5,2018,,
92,Do Androids,PKD,5,2018,,
93,Rendezvous with Rama,Arthur C Clarke,5,2018,,
94,Steelheart,Sanderson,5,2018,,
95,2001 A Space Odyssey,Arthur C Clarke,5,2018,,
96,Leila,Prayaag Akbar,5,2018,,
97,Time Machine,HG Wells,5,2018,,
98,Bear and The Nightingale,Katherine Arden,5,2018,,
99,The Trigan Empire,Hamlyn (Publisher),5,2018,,
100,The Savage Sword of Conan + Short Stories– Marvel/Robert E Howard,,5,2018,,
101,The Last Question,Isaac Asimov,5,2018,,
102,Earth to Centauri: The First Journey,Kumar L,5,2018,,
103,Hell! No saints in Paradise,A.K. Asif,5,2018,,
104,I Robot,Isaac Asimov,5,2018,,
105,The Complete Robot,Isaac Asimov,5,2018,,
106,The Bicentennial Man,Isaac Asimov,5,2018,,
107,Consider Phlebas,Iain M Banks,5,2018,,
108,Disposessed,Ursula K Le Guin,5,2018,,
109,I have no mouth and I must scream,Harlan Ellison,5,2018,,
110,Legion,Sanderson,5,2018,,
111,Emperor’s Soul,Sanderson,5,2018,,
112,The Nine Billion Names of God,Arthur C Clarke,5,2018,,
113,Professor Shonku,Satyajit Ray,5,2018,,
114,Three Body Problem,Cixin Liu,5,2018,,
115,Dead Send,Cixin Liu,5,2018,,
116,Altered Carbon,Richard Carbon,5,2018,,
117,Ender’s Game,Orson Scott Card,5,2018,,
118,Station Eleven,Emily St. John Mandel,5,2018,,
119,The Themis Files,Sylvain Neuvel,5,2018,,
120,The Quantum Thief Trilogy,Hannu Rajaniemi,5,2018,,
121,Collected Fiction,Hannu Rajaniemi,5,2018,,
